XID,Project Name,Configuration,List Item,Price
424462,Lodha Azur,"3 BHK Apartment
2.54 Cr",1950 SQ.FT,"₹ 2.54 Cr
i"
424462,Lodha Azur,"3.5 BHK Apartment
3.19 Cr",2450 SQ.FT,"₹ 3.19 Cr
i"
424462,Lodha Azur,"4 BHK Apartment
3.97 Cr",3060 SQ.FT,"₹ 3.97 Cr
i"
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1245 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1260 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1295 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1310 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1320 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,2 BHK Apartment,1330 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1385 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1415 SQ.FT,₹ 1.27 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1430 SQ.FT,₹ 1.29 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1465 SQ.FT,₹ 1.32 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1565 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1595 SQ.FT,Price on Request
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1600 SQ.FT,₹ 1.44 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1620 SQ.FT,₹ 1.46 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1660 SQ.FT,₹ 1.49 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1666 SQ.FT,₹ 1.5 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1737 SQ.FT,₹ 1.56 Cr
378411,Ecolife Elements Of Nature Akash Block B And C,3 BHK Apartment,1878 SQ.FT,₹ 1.69 Cr
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1495 SQ.FT,"₹ 1.3 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1500 SQ.FT,"₹ 1.3 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1550 SQ.FT,"₹ 1.34 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1590 SQ.FT,"₹ 1.38 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1675 SQ.FT,"₹ 1.45 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1735 SQ.FT,"₹ 1.5 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1745 SQ.FT,"₹ 1.51 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1770 SQ.FT,"₹ 1.53 Cr
i"
423949,Novo Gardenia,"3 BHK Apartment
1.3 Cr - 1.55 Cr",1790 SQ.FT,"₹ 1.55 Cr
i"
423949_phase_2,IVY County Pristine Villa Plots,"Plot
1.16 Cr - 2.33 Cr",1200 SQ.FT,₹ 1.16 Cr
423949_phase_2,IVY County Pristine Villa Plots,"Plot
1.16 Cr - 2.33 Cr",1500 SQ.FT,₹ 1.45 Cr
423949_phase_2,IVY County Pristine Villa Plots,"Plot
1.16 Cr - 2.33 Cr",1800 SQ.FT,₹ 1.75 Cr
423949_phase_2,IVY County Pristine Villa Plots,"Plot
1.16 Cr - 2.33 Cr",2400 SQ.FT,₹ 2.33 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"1 BHK Apartment
1.3 Cr",978 SQ.FT,₹ 1.3 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"1.5 BHK Apartment
1.47 Cr",1100 SQ.FT,₹ 1.47 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"2 BHK Apartment
1.67 Cr - 1.68 Cr",1256 SQ.FT,₹ 1.67 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"2 BHK Apartment
1.67 Cr - 1.68 Cr",1259 SQ.FT,₹ 1.68 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"2.5 BHK Apartment
2.01 Cr",1507 SQ.FT,₹ 2.01 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"3 BHK Apartment
1.85 Cr - 2.53 Cr",1389 SQ.FT,₹ 1.85 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"3 BHK Apartment
1.85 Cr - 2.53 Cr",1404 SQ.FT,₹ 1.87 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"3 BHK Apartment
1.85 Cr - 2.53 Cr",1667 SQ.FT,₹ 2.22 Cr
423949_phase_13,Brigade Tranquil At Brigade Cornerstone Utopia,"3 BHK Apartment
1.85 Cr - 2.53 Cr",1897 SQ.FT,₹ 2.53 Cr
423949_phase_16,Abhee Celestial City,"2 BHK Apartment
1.36 Cr",1345 SQ.FT,"₹ 1.36 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1595 SQ.FT,"₹ 1.6 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1680 SQ.FT,"₹ 1.68 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1685 SQ.FT,"₹ 1.69 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1895 SQ.FT,"₹ 1.9 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1950 SQ.FT,"₹ 1.95 Cr
i"
423949_phase_16,Abhee Celestial City,"3 BHK Apartment
1.6 Cr - 1.99 Cr",1990 SQ.FT,"₹ 1.99 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1113 SQ.FT,"₹ 97.59 L
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1168 SQ.FT,"₹ 1.02 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1172 SQ.FT,"₹ 1.03 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1186 SQ.FT,"₹ 1.04 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1225 SQ.FT,"₹ 1.07 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1234 SQ.FT,"₹ 1.08 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1289 SQ.FT,"₹ 1.13 Cr
i"
423949_phase_19,DSR The Courtyard,"2 BHK Apartment
97.59 L - 1.13 Cr",1298 SQ.FT,"₹ 1.13 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1546 SQ.FT,"₹ 1.42 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1549 SQ.FT,"₹ 1.42 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1608 SQ.FT,"₹ 1.48 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1611 SQ.FT,"₹ 1.48 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1680 SQ.FT,"₹ 1.54 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1686 SQ.FT,"₹ 1.55 Cr
i"
423949_phase_19,DSR The Courtyard,"3 BHK Apartment
1.42 Cr - 1.55 Cr",1687 SQ.FT,"₹ 1.55 Cr
i"
423949_phase_20,Myhna Orchid,2 BHK Apartment,1150 SQ.FT,₹ 1.0 Cr
423949_phase_20,Myhna Orchid,2 BHK Apartment,1160 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1170 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1205 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1210 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1225 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1245 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1260 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1265 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1275 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,2 BHK Apartment,1290 SQ.FT,₹ 1.08 Cr
423949_phase_20,Myhna Orchid,"2.5 BHK Apartment
1.17 Cr - 1.28 Cr",1420 SQ.FT,₹ 1.17 Cr
423949_phase_20,Myhna Orchid,"2.5 BHK Apartment
1.17 Cr - 1.28 Cr",1531 SQ.FT,₹ 1.28 Cr
423949_phase_20,Myhna Orchid,3 BHK Apartment,1475 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1480 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1490 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1520 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1530 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1620 SQ.FT,₹ 1.35 Cr
423949_phase_20,Myhna Orchid,3 BHK Apartment,1625 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1675 SQ.FT,Price on Request
423949_phase_20,Myhna Orchid,3 BHK Apartment,1720 SQ.FT,₹ 1.44 Cr
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",717 SQ.FT,₹ 95.0 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",727 SQ.FT,₹ 96.33 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",728 SQ.FT,₹ 96.43 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",732 SQ.FT,₹ 97.02 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",733 SQ.FT,₹ 97.09 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",734 SQ.FT,₹ 97.2 L
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",776 SQ.FT,₹ 1.03 Cr
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",784 SQ.FT,₹ 1.04 Cr
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",808 SQ.FT,₹ 1.07 Cr
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",818 SQ.FT,₹ 1.08 Cr
434535,Concorde Neo,"2 BHK Apartment
95 L - 1.49 Cr",1125 SQ.FT,₹ 1.49 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",978 SQ.FT,₹ 1.3 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",979 SQ.FT,₹ 1.3 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",983 SQ.FT,₹ 1.3 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",984 SQ.FT,₹ 1.3 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",1017 SQ.FT,₹ 1.35 Cr
434535,Concorde Neo,"3 BHK Apartment
1.3 Cr - 1.36 Cr",1024 SQ.FT,₹ 1.36 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",766 SQ.FT,₹ 2.55 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",775 SQ.FT,₹ 2.58 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",802 SQ.FT,₹ 2.66 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",806 SQ.FT,₹ 2.68 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",888 SQ.FT,₹ 2.95 Cr
419935,Hiranandani Vista Residences,"2 BHK Apartment
2.55 Cr - 2.99 Cr",900 SQ.FT,₹ 2.99 Cr
419935,Hiranandani Vista Residences,"3 BHK Apartment
4.6 Cr",1111 SQ.FT,₹ 4.6 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",766 SQ.FT,₹ 2.55 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",775 SQ.FT,₹ 2.58 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",802 SQ.FT,₹ 2.66 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",806 SQ.FT,₹ 2.68 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",888 SQ.FT,₹ 2.95 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"2 BHK Apartment
2.55 Cr - 2.99 Cr",900 SQ.FT,₹ 2.99 Cr
419935_phase_1,ID Vista Residences Wing C Tower 2,"3 BHK Apartment
4.6 Cr",1111 SQ.FT,₹ 4.6 Cr
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",780 SQ.FT,₹ 45.24 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",823 SQ.FT,₹ 47.73 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",853 SQ.FT,₹ 49.47 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",1031 SQ.FT,₹ 59.82 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",738 SQ.FT,₹ 62.06 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",761 SQ.FT,₹ 63.98 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",816 SQ.FT,₹ 68.55 L
403366,DS Max Samyak,"2 BHK Apartment
45.24 L - 70.35 L",837 SQ.FT,₹ 70.35 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",935 SQ.FT,₹ 54.23 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",970 SQ.FT,₹ 56.26 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",982 SQ.FT,₹ 56.96 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",983 SQ.FT,₹ 57.01 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",990 SQ.FT,₹ 57.42 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",1047 SQ.FT,₹ 60.73 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",1049 SQ.FT,₹ 60.84 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",1263 SQ.FT,₹ 73.25 L
403366,DS Max Samyak,"3 BHK Apartment
54.23 L - 90.6 L",943 SQ.FT,₹ 79.29 L
